fiidex,fi_cycle,fi_bit,opcode,error_type
945,978018518,13,load,SDC
2877,1961392258,3,load,benign
661,988966101,47,load,benign
1485,404743751,40,fmul,benign
1114,753651619,9,fneg,benign
860,198707981,126,load,benign
402,1887157455,62,fsub,benign
2470,90047136,52,load,benign
3064,388350256,5,load,benign
3473,970134656,0,icmp,benign
4679,1243856051,16,fmul,benign
3453,787274394,33,load,SDC
490,2057913333,10,extractelement,benign
3010,1555361333,15,fadd,benign
5137,858361404,52,phi,benign
1132,1705964000,15,fadd,benign
1118,1819407309,6,fadd,benign
3723,119832739,54,fadd,benign
3911,1793700667,9,fmul,benign
3039,1769100826,40,load,SDC
1376,107805786,38,load,SDC
3732,889556223,24,fadd,benign
444,438632894,111,fsub,benign
3676,300288064,56,load,benign
1114,1366660590,46,fneg,SDC
3510,285472267,23,load,benign
3473,1312380738,0,icmp,SDC
368,442123943,0,icmp,SDC
2467,136548512,23,load,benign
982,449753184,55,load,benign
2023,1895481033,11,load,benign
4038,1051287047,25,sext,SDC
4473,1441902661,0,fcmp,SDC
3080,1277651699,48,fadd,benign
662,1674166549,28,fadd,benign
1222,686975622,18,load,benign
2492,1512856084,16,load,benign
2145,1654595473,73,shufflevector,benign
3454,2027144357,1,load,SDC
551,1567011485,99,fmul,benign
3079,1927293192,0,fsub,benign
2206,1130151801,102,insertelement,benign
1110,234749023,40,fadd,benign
1161,435936409,15,load,benign
984,1352226317,32,load,benign
459,634884291,109,fsub,benign
472,1570898176,96,fsub,benign
574,189814207,106,fneg,benign
970,1459766975,3,sext,SDC
635,1642731641,23,fsub,benign
1121,188918736,37,fadd,benign
937,812803245,52,load,benign
4077,2065781952,15,load,benign
4681,1462803598,33,fdiv,benign
937,1289636267,9,load,benign
1132,379840985,25,fadd,benign
1112,40526827,59,fadd,benign
668,802476068,15,fadd,benign
1008,117958674,31,load,benign
3508,1600477555,28,load,benign
4624,339546408,6,load,benign
4227,1153051242,42,load,SDC
3502,786613358,98,load,benign
630,530678322,54,fsub,SDC
3081,490699455,43,fadd,benign
3170,1758781483,10,fsub,benign
1258,1258917342,47,load,SDC
1299,22841012,46,load,benign
617,650883506,14,fadd,benign
1151,340593840,35,fneg,SDC
505,1343832666,28,shufflevector,benign
1653,842336559,48,fmul,benign
3359,1256911809,36,insertelement,benign
3125,1120787970,49,load,benign
967,1230299455,0,load,SDC
622,364904825,45,fsub,benign
2103,1235211418,27,load,benign
1288,397485355,10,load,benign
462,1146895755,86,shufflevector,benign
2211,461368241,55,shufflevector,benign
525,1883874415,18,extractelement,benign
676,148903700,60,load,benign
2949,822345030,108,insertelement,benign
1125,464602231,61,fadd,benign
3801,1051111446,27,fadd,benign
1750,274339951,2,load,benign
406,1598024456,4,fmul,benign
1135,1685111427,5,fmul,benign
2039,79885719,27,load,benign
2023,1909431325,61,load,SDC
3782,2065734490,29,fadd,benign
1474,1761268152,1,fmul,benign
3268,423503178,52,load,benign
3299,398356858,98,insertelement,benign
969,1890882611,52,load,benign
403,530998063,24,fsub,benign
3083,41956184,33,fmul,benign
645,2007813057,43,fneg,benign
615,1320868159,45,fsub,SDC
2970,2064843077,84,insertelement,benign
4876,1856060705,54,phi,SDC
3443,1120672097,27,load,SDC
2117,1297950937,124,shufflevector,SDC
967,1269160762,22,load,SDC
1151,453766479,57,fneg,benign
3475,1968606960,32,phi,SDC
3911,293122744,45,fmul,benign
2748,1955949772,0,icmp,SDC
1140,690410289,32,fadd,benign
